epoch,model_file,evaluation_time,samples_evaluated,generator_lr,discriminator_lr,total_loss,identity_loss,healing_loss,adversarial_loss,segmentation_loss,perceptual_loss,discriminator_loss,status
105,abnormal_to_normal_105.pth,0.17,3,0.000190,0.000190,4.562841,0.068662,0.090725,3.693924,0.000000,0.000847,0.089945,success
106,abnormal_to_normal_106.pth,0.16,3,0.000188,0.000188,6.805119,0.110402,0.150883,5.376428,0.000000,0.022903,0.034440,success
107,abnormal_to_normal_107.pth,0.16,3,0.000186,0.000186,5.480121,0.074426,0.098371,4.536799,0.000000,0.002320,0.024564,success
108,abnormal_to_normal_108.pth,0.16,3,0.000184,0.000184,22.136069,0.094897,0.101509,20.983921,0.000000,0.000159,2.638176,success
109,abnormal_to_normal_109.pth,0.15,3,0.000182,0.000182,4.640292,0.074808,0.100145,3.688480,0.000000,0.003444,0.153562,success
110,abnormal_to_normal_110.pth,0.17,3,0.000180,0.000180,4.265835,0.091616,0.118327,3.101900,0.000000,0.011122,0.047571,success
111,abnormal_to_normal_111.pth,0.17,3,0.000178,0.000178,4.747869,0.078222,0.095686,3.771160,0.000000,0.003115,0.079376,success
112,abnormal_to_normal_112.pth,0.17,3,0.000176,0.000176,4.682613,0.078568,0.098814,3.697808,0.000000,0.001494,0.072328,success
113,abnormal_to_normal_113.pth,0.19,3,0.000174,0.000174,5.538707,0.078416,0.100587,4.551122,0.000000,0.002251,0.294077,success
114,abnormal_to_normal_114.pth,0.22,3,0.000172,0.000172,5.088720,0.078936,0.101258,4.095633,0.000000,0.001215,0.038144,success
115,abnormal_to_normal_115.pth,0.17,3,0.000170,0.000170,6.048499,0.067220,0.096602,5.180504,0.000000,0.002588,0.325880,success
116,abnormal_to_normal_116.pth,0.19,3,0.000168,0.000168,6.217959,0.079133,0.107752,5.204471,0.000000,0.006658,0.166083,success
117,abnormal_to_normal_117.pth,0.17,3,0.000166,0.000166,7.156027,0.077031,0.101611,6.178406,0.000000,0.004088,0.233235,success
118,abnormal_to_normal_118.pth,0.16,3,0.000164,0.000164,9.557265,0.162098,0.188634,7.524360,0.000000,0.034655,0.105560,success
119,abnormal_to_normal_119.pth,0.18,3,0.000162,0.000162,5.460414,0.072039,0.097344,4.542331,0.000000,0.003009,0.064592,success
120,abnormal_to_normal_120.pth,0.17,3,0.000160,0.000160,5.042336,0.072254,0.108354,4.096992,0.000000,0.006097,0.020565,success
121,abnormal_to_normal_121.pth,0.16,3,0.000158,0.000158,6.957314,0.082829,0.118792,5.885313,0.000000,0.006128,0.091118,success
122,abnormal_to_normal_122.pth,0.15,3,0.000156,0.000156,6.495296,0.078634,0.113914,5.472890,0.000000,0.008235,0.011616,success
123,abnormal_to_normal_123.pth,0.18,3,0.000154,0.000154,5.785648,0.071070,0.089382,4.894584,0.000000,0.001603,0.476749,success
124,abnormal_to_normal_124.pth,0.16,3,0.000152,0.000152,5.101373,0.076035,0.109556,4.117329,0.000000,0.004582,0.043835,success
125,abnormal_to_normal_125.pth,0.15,3,0.000150,0.000150,5.253139,0.075745,0.097628,4.298244,0.000000,0.002184,0.408245,success
126,abnormal_to_normal_126.pth,0.16,3,0.000148,0.000148,6.673373,0.075045,0.106120,5.704108,0.000000,0.006579,0.229789,success
127,abnormal_to_normal_127.pth,0.17,3,0.000146,0.000146,4.547129,0.069800,0.099525,3.646192,0.000000,0.003886,0.263194,success
128,abnormal_to_normal_128.pth,0.16,3,0.000144,0.000144,5.902999,0.085889,0.103494,4.833118,0.000000,0.004005,0.016542,success
129,abnormal_to_normal_129.pth,0.16,3,0.000142,0.000142,6.269373,0.099796,0.130442,4.999793,0.000000,0.010742,0.032336,success
130,abnormal_to_normal_130.pth,0.17,3,0.000140,0.000140,5.872482,0.114126,0.140747,4.434201,0.000000,0.015526,0.049480,success
131,abnormal_to_normal_131.pth,0.19,3,0.000138,0.000138,4.696545,0.094153,0.111694,3.530476,0.000000,0.001154,0.031110,success
132,abnormal_to_normal_132.pth,0.18,3,0.000136,0.000136,6.577030,0.097111,0.117978,5.364368,0.000000,0.005595,0.065965,success
133,abnormal_to_normal_133.pth,0.19,3,0.000134,0.000134,6.951604,0.105978,0.126724,5.635156,0.000000,0.003219,0.086145,success
134,abnormal_to_normal_134.pth,0.17,3,0.000132,0.000132,5.246403,0.105416,0.121878,3.945528,0.000000,0.002958,0.025684,success
135,abnormal_to_normal_135.pth,0.22,3,0.000130,0.000130,7.140965,0.124575,0.137569,5.609090,0.000000,0.010984,0.058891,success
136,abnormal_to_normal_136.pth,0.17,3,0.000128,0.000128,5.033420,0.097797,0.103467,3.847622,0.000000,0.000897,0.592911,success
137,abnormal_to_normal_137.pth,0.18,3,0.000126,0.000126,6.186566,0.133436,0.140212,4.559890,0.000000,0.011891,0.026815,success
138,abnormal_to_normal_138.pth,0.17,3,0.000124,0.000124,5.439447,0.104782,0.121502,4.145697,0.000000,0.002926,0.023590,success
139,abnormal_to_normal_139.pth,0.15,3,0.000122,0.000122,8.346163,0.159978,0.165225,6.414804,0.000000,0.001125,0.017146,success
140,abnormal_to_normal_140.pth,0.16,3,0.000120,0.000120,8.212499,0.105167,0.123411,6.909924,0.000000,0.004080,0.014424,success
141,abnormal_to_normal_141.pth,0.16,3,0.000118,0.000118,4.903794,0.110175,0.130218,3.537274,0.000000,0.004336,0.039212,success
142,abnormal_to_normal_142.pth,0.15,3,0.000116,0.000116,6.195812,0.137973,0.132135,4.544457,0.000000,0.007357,0.094166,success
143,abnormal_to_normal_143.pth,0.16,3,0.000114,0.000114,5.797716,0.106963,0.145339,4.426051,0.000000,0.011360,0.077198,success
144,abnormal_to_normal_144.pth,0.20,3,0.000112,0.000112,5.700913,0.104703,0.121096,4.410717,0.000000,0.000977,0.047172,success
145,abnormal_to_normal_145.pth,0.18,3,0.000110,0.000110,8.823504,0.115603,0.134250,7.392117,0.000000,0.006860,0.360818,success
146,abnormal_to_normal_146.pth,0.18,3,0.000108,0.000108,8.487950,0.114645,0.131223,7.075329,0.000000,0.003724,0.005653,success
147,abnormal_to_normal_147.pth,0.16,3,0.000106,0.000106,6.356452,0.145334,0.135948,4.629470,0.000000,0.001744,0.043209,success
148,abnormal_to_normal_148.pth,0.17,3,0.000104,0.000104,6.314989,0.108377,0.122781,4.979066,0.000000,0.006594,0.035309,success
